"Statistic Label","Year","Sex","County","Age Group","UNIT","VALUE"
"Mean Annual Earnings","2023","Male","Co. Clare","15 - 24 years","Euro","25429"
"Mean Annual Earnings","2023","Male","Co. Clare","25 - 29 years","Euro","42098"
"Mean Annual Earnings","2023","Male","Co. Clare","30 - 39 years","Euro","52955"
"Mean Annual Earnings","2023","Male","Co. Clare","40 - 49 years","Euro","62381"
"Mean Annual Earnings","2023","Male","Co. Clare","50 - 59 years","Euro","66495"
"Mean Annual Earnings","2023","Male","Co. Cork","15 - 24 years","Euro","24582"
"Mean Annual Earnings","2023","Male","Co. Cork","25 - 29 years","Euro","44535"
"Mean Annual Earnings","2023","Male","Co. Cork","30 - 39 years","Euro","59821"
"Mean Annual Earnings","2023","Male","Co. Cork","40 - 49 years","Euro","71660"
"Mean Annual Earnings","2023","Male","Co. Cork","50 - 59 years","Euro","73954"
"Mean Annual Earnings","2023","Male","Co. Cavan","15 - 24 years","Euro","26118"
"Mean Annual Earnings","2023","Male","Co. Cavan","25 - 29 years","Euro","42149"
"Mean Annual Earnings","2023","Male","Co. Cavan","30 - 39 years","Euro","49554"
"Mean Annual Earnings","2023","Male","Co. Cavan","40 - 49 years","Euro","55261"
"Mean Annual Earnings","2023","Male","Co. Cavan","50 - 59 years","Euro","54671"
"Mean Annual Earnings","2023","Male","Co. Carlow","15 - 24 years","Euro","24656"
"Mean Annual Earnings","2023","Male","Co. Carlow","25 - 29 years","Euro","40884"
"Mean Annual Earnings","2023","Male","Co. Carlow","30 - 39 years","Euro","50126"
"Mean Annual Earnings","2023","Male","Co. Carlow","40 - 49 years","Euro","56000"
"Mean Annual Earnings","2023","Male","Co. Carlow","50 - 59 years","Euro","56352"
"Mean Annual Earnings","2023","Male","Co. Donegal","15 - 24 years","Euro","23600"
"Mean Annual Earnings","2023","Male","Co. Donegal","25 - 29 years","Euro","37721"
"Mean Annual Earnings","2023","Male","Co. Donegal","30 - 39 years","Euro","44472"
"Mean Annual Earnings","2023","Male","Co. Donegal","40 - 49 years","Euro","49428"
"Mean Annual Earnings","2023","Male","Co. Donegal","50 - 59 years","Euro","46861"
"Mean Annual Earnings","2023","Male","Co. Dublin","15 - 24 years","Euro","26237"
"Mean Annual Earnings","2023","Male","Co. Dublin","25 - 29 years","Euro","49954"
"Mean Annual Earnings","2023","Male","Co. Dublin","30 - 39 years","Euro","70897"
"Mean Annual Earnings","2023","Male","Co. Dublin","40 - 49 years","Euro","83378"
"Mean Annual Earnings","2023","Male","Co. Dublin","50 - 59 years","Euro","83492"
"Mean Annual Earnings","2023","Male","Co. Galway","15 - 24 years","Euro","24625"
"Mean Annual Earnings","2023","Male","Co. Galway","25 - 29 years","Euro","42494"
"Mean Annual Earnings","2023","Male","Co. Galway","30 - 39 years","Euro","54740"
"Mean Annual Earnings","2023","Male","Co. Galway","40 - 49 years","Euro","63565"
"Mean Annual Earnings","2023","Male","Co. Galway","50 - 59 years","Euro","65133"
"Mean Annual Earnings","2023","Male","Co. Kildare","15 - 24 years","Euro","25033"
"Mean Annual Earnings","2023","Male","Co. Kildare","25 - 29 years","Euro","45697"
"Mean Annual Earnings","2023","Male","Co. Kildare","30 - 39 years","Euro","63639"
"Mean Annual Earnings","2023","Male","Co. Kildare","40 - 49 years","Euro","75706"
"Mean Annual Earnings","2023","Male","Co. Kildare","50 - 59 years","Euro","78771"
"Mean Annual Earnings","2023","Male","Co. Kilkenny","15 - 24 years","Euro","24029"
"Mean Annual Earnings","2023","Male","Co. Kilkenny","25 - 29 years","Euro","41042"
