Sex,County,Age Group,VALUE,Latitude,Longitude
Male,Clare,15 - 24 years,25429,52.847,-8.9885
Male,Clare,25 - 29 years,42098,52.847,-8.9885
Male,Clare,30 - 39 years,52955,52.847,-8.9885
Male,Clare,40 - 49 years,62381,52.847,-8.9885
Male,Clare,50 - 59 years,66495,52.847,-8.9885
Male,Cork,15 - 24 years,24582,51.8985,-8.4756
Male,Cork,25 - 29 years,44535,51.8985,-8.4756
Male,Cork,30 - 39 years,59821,51.8985,-8.4756
Male,Cork,40 - 49 years,71660,51.8985,-8.4756
Male,Cork,50 - 59 years,73954,51.8985,-8.4756
Male,Cavan,15 - 24 years,26118,53.9908,-7.3602
Male,Cavan,25 - 29 years,42149,53.9908,-7.3602
Male,Cavan,30 - 39 years,49554,53.9908,-7.3602
Male,Cavan,40 - 49 years,55261,53.9908,-7.3602
Male,Cavan,50 - 59 years,54671,53.9908,-7.3602
Male,Carlow,15 - 24 years,24656,52.8365,-6.9341
Male,Carlow,25 - 29 years,40884,52.8365,-6.9341
Male,Carlow,30 - 39 years,50126,52.8365,-6.9341
Male,Carlow,40 - 49 years,56000,52.8365,-6.9341
Male,Carlow,50 - 59 years,56352,52.8365,-6.9341
Male,Donegal,15 - 24 years,23600,54.6547,-8.1041
Male,Donegal,25 - 29 years,37721,54.6547,-8.1041
Male,Donegal,30 - 39 years,44472,54.6547,-8.1041
Male,Donegal,40 - 49 years,49428,54.6547,-8.1041
Male,Donegal,50 - 59 years,46861,54.6547,-8.1041
Male,Dublin,15 - 24 years,26237,53.3498,-6.2603
Male,Dublin,25 - 29 years,49954,53.3498,-6.2603
Male,Dublin,30 - 39 years,70897,53.3498,-6.2603
Male,Dublin,40 - 49 years,83378,53.3498,-6.2603
Male,Dublin,50 - 59 years,83492,53.3498,-6.2603
Male,Galway,15 - 24 years,24625,53.2707,-9.0568
Male,Galway,25 - 29 years,42494,53.2707,-9.0568
Male,Galway,30 - 39 years,54740,53.2707,-9.0568
Male,Galway,40 - 49 years,63565,53.2707,-9.0568
Male,Galway,50 - 59 years,65133,53.2707,-9.0568
Male,Kildare,15 - 24 years,25033,53.1624,-6.913
Male,Kildare,25 - 29 years,45697,53.1624,-6.913
Male,Kildare,30 - 39 years,63639,53.1624,-6.913
Male,Kildare,40 - 49 years,75706,53.1624,-6.913
Male,Kildare,50 - 59 years,78771,53.1624,-6.913
Male,Kilkenny,15 - 24 years,24029,52.6541,-7.2525
Male,Kilkenny,25 - 29 years,41042,52.6541,-7.2525
Male,Kilkenny,30 - 39 years,52932,52.6541,-7.2525
Male,Kilkenny,40 - 49 years,61573,52.6541,-7.2525
Male,Kilkenny,50 - 59 years,61876,52.6541,-7.2525
Male,Kerry,15 - 24 years,24067,52.1545,-9.5669
Male,Kerry,25 - 29 years,39332,52.1545,-9.5669
Male,Kerry,30 - 39 years,48560,52.1545,-9.5669
Male,Kerry,40 - 49 years,54853,52.1545,-9.5669
Male,Kerry,50 - 59 years,53965,52.1545,-9.5669
Male,Longford,15 - 24 years,26058,53.7271,-7.798
Male,Longford,25 - 29 years,39136,53.7271,-7.798
Male,Longford,30 - 39 years,47986,53.7271,-7.798
